4.42,2.53,5.61,1.62,1
6.49,2.20,5.14,2.11,2
5.76,3.03,4.25,1.87,1
5.47,2.89,5.01,1.24,1
6.31,3.11,5.03,1.14,1
6.39,2.82,5.03,1.05,2
5.34,2.57,4.25,2.37,1
6.63,3.02,5.56,2.00,2
6.04,2.81,5.22,1.55,2
1.81,4.13,0.85,0.10,0
2.29,4.27,1.99,0.52,0
5.99,2.54,6.34,1.47,2
2.81,2.37,1.10,0.60,0
6.43,2.23,4.40,2.70,1
5.62,3.03,3.62,1.25,1
1.20,3.00,1.62,0.56,0
3.06,2.76,0.85,1.22,0
1.02,2.75,1.46,0.14,0
1.99,2.97,1.84,0.69,0
6.81,1.97,3.76,1.19,1
6.40,3.12,5.74,1.43,2
6.38,1.67,3.99,1.01,1
5.68,2.82,4.53,1.09,1
6.73,2.75,5.29,2.16,2
5.19,3.02,4.00,0.76,1
6.26,2.92,4.09,2.13,1
6.67,3.18,7.19,2.43,2
5.15,3.15,5.43,1.49,1
6.44,3.71,6.52,1.83,2
2.21,3.62,2.47,0.10,0
5.44,3.53,4.54,1.78,1
6.18,2.46,5.77,2.19,2
5.86,1.95,3.59,1.64,1
5.58,3.07,4.78,1.62,1
6.67,3.21,5.66,2.22,2
2.39,3.30,1.99,0.68,0
6.05,3.14,6.22,1.78,2
5.38,2.79,4.29,0.79,1
7.18,3.82,5.75,2.29,2
7.25,3.42,6.34,1.86,2
2.37,3.67,1.07,0.42,0
6.17,2.89,3.68,1.37,1
5.63,2.27,4.07,1.61,1
6.93,2.86,5.30,2.00,2
2.91,3.77,0.61,0.27,0
1.97,2.87,1.23,0.95,0
7.09,3.01,4.59,1.32,1
5.91,2.92,4.42,1.30,1
2.16,4.00,1.04,0.10,0
5.98,2.60,5.32,1.31,1
2.14,2.69,0.24,0.33,0
6.35,3.24,5.34,2.00,2
2.65,3.51,1.19,0.85,0
2.42,3.58,2.13,0.10,0
5.39,3.82,5.29,1.97,1
2.12,3.41,2.20,0.18,0
7.21,1.66,5.80,2.78,2
6.14,2.53,4.19,2.08,1
6.12,3.49,5.95,2.05,2
6.05,3.35,4.92,1.60,2
6.01,3.52,4.45,1.69,1
5.81,2.90,4.81,1.20,1
5.67,2.59,4.56,1.28,1
5.85,3.36,3.26,0.65,1
2.79,3.48,1.34,0.44,0
6.60,2.58,5.13,1.47,1
5.44,3.23,4.72,1.62,1
6.11,2.28,5.57,2.04,2
1.94,2.98,0.99,0.63,0
6.25,3.13,4.59,1.68,1
2.03,3.05,1.89,0.10,0
2.05,3.51,2.66,1.24,0
5.38,1.59,5.21,2.67,1
5.68,2.56,4.80,2.15,1
2.06,3.51,1.84,0.41,0
6.29,3.20,3.59,0.28,1
6.44,3.11,5.50,1.71,2
6.51,2.86,6.49,1.95,2
1.79,3.22,1.67,0.48,0
6.79,1.18,4.74,2.23,2
1.34,2.90,1.60,0.10,0
2.16,3.82,2.40,1.76,0
7.55,3.02,6.48,1.95,2
1.79,3.48,1.71,0.15,0
2.43,3.30,0.76,0.10,0
1.53,3.30,0.92,0.13,0
5.68,3.03,3.62,1.72,1
2.03,3.96,1.63,0.10,0
5.35,2.15,5.18,1.72,2
2.32,3.20,1.40,0.22,0
5.36,2.72,4.03,0.77,1
5.12,3.14,4.22,0.89,1
6.28,2.97,5.06,2.23,2
5.87,2.76,5.30,1.85,1
6.16,2.67,4.34,1.81,1
6.35,3.17,4.32,1.07,1
1.40,3.64,1.17,0.31,0
1.54,3.65,1.47,0.65,0
7.46,1.84,4.60,1.73,2
5.47,3.13,4.94,1.58,1
5.73,2.73,4.71,0.53,1
1.85,3.35,1.27,0.38,0
7.50,3.66,5.55,2.18,2
6.02,2.96,6.07,2.43,2
6.40,3.02,5.44,2.52,2
3.45,2.81,1.22,0.47,0
6.74,2.82,5.77,0.53,2
6.72,2.92,5.82,2.03,2
5.52,2.28,3.78,0.96,1
6.01,2.82,5.47,1.25,2
6.29,4.03,5.49,1.36,2
5.79,3.12,4.39,1.75,1
6.63,2.86,5.43,2.31,2
1.77,2.79,0.76,0.39,0
5.41,2.36,5.07,1.30,1
6.98,3.19,4.98,2.72,2
6.03,3.58,4.22,0.93,1
5.05,2.79,3.95,1.23,1
2.34,3.43,1.54,0.62,0
2.10,3.82,1.41,0.96,0
6.25,3.48,5.42,1.76,2
6.35,2.17,5.08,1.49,2
6.25,3.42,4.93,1.80,2
1.95,4.45,2.19,0.49,0
6.59,2.89,5.55,1.99,2
6.58,3.25,4.04,0.65,1
6.16,3.00,3.51,1.34,1
6.45,2.76,6.04,2.74,2
7.06,3.02,5.46,1.95,2
6.40,3.39,3.89,0.47,1
6.45,2.32,4.57,1.20,1
7.09,2.72,6.00,2.34,2
6.26,3.69,5.52,2.64,2
5.70,1.83,4.24,1.26,1
6.40,3.33,4.91,1.42,1
5.21,3.00,3.88,1.64,1
2.24,3.62,1.73,0.25,0
5.87,2.71,4.01,1.62,1
6.05,3.82,4.36,1.25,1
6.07,1.91,4.44,1.12,1
0.93,3.32,0.87,0.10,0
4.98,2.63,3.40,0.65,1
2.05,4.05,0.60,0.10,0
6.36,4.12,5.60,2.20,2
7.17,3.31,5.90,2.26,2
1.32,4.23,2.26,0.21,0
0.85,3.55,1.44,0.51,0
2.23,3.07,1.22,0.11,0
2.27,4.07,1.32,0.10,0
7.00,3.09,5.27,2.61,2
2.74,2.12,1.28,0.39,0
6.26,2.57,5.84,1.23,2
1.74,2.99,1.71,0.86,0
5.54,2.14,4.82,1.57,1
6.73,2.25,4.69,1.56,1
7.39,3.25,6.09,2.62,2
1.71,3.81,1.93,0.42,0
1.91,3.06,2.01,0.22,0
5.81,2.24,4.69,1.66,1
1.92,3.59,1.90,0.10,0
1.70,2.68,1.44,0.10,0
1.41,3.14,2.16,0.62,0
6.59,2.31,5.44,2.18,2
1.16,3.16,1.37,1.18,0
2.24,2.53,1.86,0.53,0
6.23,2.46,4.85,2.21,1
6.52,3.73,5.37,2.57,2
7.15,2.79,4.89,2.22,2
5.35,3.00,4.43,0.75,1
5.55,2.82,4.51,2.02,2
1.86,4.15,0.97,0.78,0
1.16,3.23,1.48,0.59,0
2.42,2.54,1.62,0.42,0
6.77,3.21,4.63,2.33,2
2.21,2.91,0.33,0.43,0
5.06,2.39,4.52,1.31,1
5.95,2.38,4.10,0.66,1
6.03,3.48,4.41,1.50,1
2.22,3.21,1.33,0.10,0
1.66,3.56,1.98,0.60,0
1.76,3.63,1.75,0.37,0
1.94,4.14,1.03,0.10,0
7.26,4.40,5.31,2.72,2
5.81,2.96,4.58,2.06,1
6.91,2.93,6.37,2.50,2
1.79,3.36,0.56,0.10,0
6.60,3.17,5.94,1.81,2
6.44,2.38,4.57,1.39,1
5.67,3.01,5.62,1.94,2
5.26,3.64,5.26,2.08,1
2.36,3.80,1.23,0.10,0
2.17,4.10,1.45,0.62,0
5.64,3.21,4.52,0.51,1
2.21,4.17,1.49,0.10,0
6.66,2.80,4.90,1.23,2
6.88,3.84,4.43,1.48,1
6.52,3.12,4.77,1.72,1
7.24,3.55,5.53,1.38,2
6.71,3.31,5.10,1.48,2
1.27,3.24,1.16,0.10,0
2.32,3.29,0.66,0.10,0
1.90,2.40,2.20,0.10,0
5.63,3.37,3.20,1.01,1
5.73,2.06,4.93,1.23,1
6.22,3.07,5.78,2.21,2
6.63,2.46,5.22,2.20,2
6.17,2.71,4.54,1.48,1
1.81,4.05,1.22,0.67,0
6.98,3.06,5.67,2.41,2
4.70,2.22,4.25,0.86,1
2.07,3.89,1.15,0.10,0
4.74,2.32,3.94,1.30,1
6.79,3.05,5.53,2.79,2
6.26,3.80,3.81,0.98,1
1.59,3.19,1.09,0.23,0
6.06,2.38,3.61,0.36,1
2.12,3.54,0.97,0.23,0
6.65,4.22,4.91,2.74,2
5.76,2.89,4.71,1.23,1
7.05,3.02,5.74,2.01,2
6.31,2.98,5.74,1.50,2
2.38,3.51,1.67,0.10,0
6.71,3.44,5.85,2.60,2
2.02,3.16,1.24,0.80,0
7.41,3.07,5.10,1.95,2
2.24,3.91,1.48,0.48,0
1.92,3.38,1.07,0.52,0
6.02,3.61,3.79,1.52,1
6.22,2.57,5.33,2.27,2
6.58,2.32,5.47,1.63,2
6.79,3.32,4.90,2.17,2
1.44,3.16,1.53,0.33,0
1.88,3.27,1.52,0.10,0
6.03,2.35,4.49,0.67,1
6.83,2.23,5.71,2.37,2
5.56,3.17,4.26,1.50,1
6.88,2.69,6.09,2.58,2
5.95,2.76,4.80,1.57,1
2.43,3.82,1.68,1.46,0
1.52,3.04,2.46,0.10,0
2.15,2.88,1.78,0.77,0
7.11,3.52,5.69,2.48,2
0.97,3.38,0.98,0.10,0
6.16,2.51,5.04,1.09,1
1.57,3.26,0.67,0.10,0
5.77,2.72,4.50,0.90,1
5.94,3.43,5.20,2.32,2
7.32,2.96,5.50,1.44,2
6.02,2.88,5.65,2.04,2
7.32,3.26,6.28,1.06,2
5.33,2.24,4.62,1.43,1
6.60,3.52,6.19,2.10,2
5.83,1.88,4.86,1.10,1
2.53,3.48,1.32,0.10,0
6.11,2.57,6.83,2.90,2
1.56,3.35,0.52,0.10,0
6.46,2.68,3.88,1.37,1
1.62,2.84,2.00,0.43,0
6.48,3.04,5.60,2.22,2
6.74,2.72,5.95,2.06,2
2.87,3.62,1.81,0.15,0
2.86,2.91,1.28,0.69,0
4.90,2.15,3.66,0.23,1
5.64,1.52,4.79,1.54,1
6.42,2.31,3.94,1.68,1
6.36,3.72,5.02,0.94,2
2.18,2.92,1.84,0.28,0
5.46,2.62,4.80,2.26,1
6.77,3.16,5.80,2.31,2
1.21,4.14,1.58,0.72,0
6.60,3.74,4.37,1.29,2
2.42,2.95,1.87,0.49,0
6.46,2.99,4.33,1.57,1
1.65,2.89,1.42,0.10,0
6.57,2.64,5.39,2.32,2
6.44,2.57,5.66,1.71,2
6.71,3.47,5.04,1.41,2
1.49,3.49,1.51,0.98,0
5.95,3.27,5.30,1.66,1
2.86,2.63,1.83,0.14,0
6.96,3.03,4.65,1.02,2
1.68,2.94,1.21,0.10,0
2.03,3.40,1.04,0.46,0
5.86,2.97,4.43,1.02,1
6.57,3.42,4.27,1.58,1
5.06,3.07,3.88,1.52,1
6.54,2.50,5.56,1.20,2
6.48,1.95,5.15,1.87,2
6.47,3.38,6.57,2.98,2
6.52,3.94,5.52,2.21,2
6.84,2.42,5.24,2.69,2
6.44,3.46,4.37,2.08,1
6.61,3.35,5.84,1.81,2
7.17,2.82,5.78,1.51,2
6.12,3.22,4.98,1.90,2
6.83,3.00,5.23,1.88,2
2.15,3.21,0.52,0.46,0
1.89,3.52,1.49,0.10,0
1.56,3.23,1.86,0.10,0
5.71,2.35,4.41,1.25,1
